stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
HAMCATSN,4183,Hamilton @ Cataldo,N HAMILTON ST & E CATALDO AV,47.666303,-117.396616,,,,,,0
ALKALKEN,4184,Alki Way @ Alki Av,E ALKI WY E & ALKI AV,47.663027,-117.354826,,,,,,0
ALKALKWN,4185,Alki Way @ Alki Av,E ALKI WY & ALKI AV,47.663305,-117.354666,,,,,,0
INDEVEEN,4186,Indiana @ Evergreen,E INDIANA AV,47.67584,-117.213751,,,,,,0
INDEVEWF,4187,Indiana @ Evergreen,E INDIANA AV,47.675994,-117.214443,,,,,,0
DAKILLNN,4189,Dakota @ Illinois,N DAKOTA ST & E ILLINOIS AV,47.677466,-117.399685,,,,,,0
ILLDAKWN,4190,Illinois @ Dakota,E ILLINOIS AV & N DAKOTA ST,47.6776,-117.399685,,,,,,0
14TMADEF,4193,14th @ Madison,W 14TH AV & S WEST END ST,47.642646,-117.427629,,,,,,0
57TPALWF,4194,57th @ Palouse Hwy,E 57TH AV & S REBECCA ST,47.602128,-117.352723,,,,,,0
CREJOSSN,4195,Crestline @ Joseph,N CRESTLINE ST & E JOSEPH AV,47.709646,-117.37889,,,,,,0
57TREGWF,4196,57th @ Regal,E 57TH AV & S REGAL ST,47.6023,-117.369558,,,,,,0
57TREGEF,4197,57th E @ Regal,E 57TH AV & S HAILEE LN,47.602119,-117.367271,,,,,,0
SPRPEREN,4198,Sprague @ Perrine,E SPRAGUE AV & N PERRINE RD,47.656971,-117.243903,,,,,,0
SPRFLOEN,4199,Sprague @ Flora,E SPRAGUE AV & S FLORA RD,47.656846,-117.175358,,,,,,0
SPRHAWN,4200,Sprague @ Haven,E SPRAGUE AV & N HAVEN ST,47.657386,-117.366696,,,,,,0
WASELMSF,4202,Washington @ Elm (EWU),WASHINGTON ST & ELM ST,47.491741,-117.586505,,,,,,0
WAL4THNN,4206,Wall @ 4th,S WALL ST & W 4TH AV,47.652359,-117.42197,,,,,,0
ROWBELEN,4207,Rowan @ Belt,W ROWAN AV & N BELT ST,47.708022,-117.443426,,,,,,0
MISCALEN,4208,Mission @ Calispel,W MISSION AV,47.671605,-117.415921,,,,,,0
PERMARSN,4209,Perry @ Marietta,N PERRY ST & E MARIETTA AV,47.681491,-117.38924,,,,,,0
BROARGEN,4214,Broadway @ Argonne,E BROADWAY AV & N MARGUERITE RD,47.664143,-117.282968,,,,,,0
16TUNVEF,4215,16th @ University,E 16TH AV & S UNIVERSITY RD,47.642338,-117.260938,,,,,,0
SULTIRNN,4216,Sullivan @ Tirerama,N SULLIVAN RD & E KIERNAN AV,47.688353,-117.196716,,,,,,0
PINMAISN,4217,Pines @ Main,N PINES RD & E MAIN AV,47.658988,-117.239889,,,,,,0
PINBROSN,4218,Pines @ Broadway,N PINES RD & E BROADWAY AV,47.664447,-117.239855,,,,,,0
PZWALLN,4219,Plaza @ Wall St N,N WALL ST & W SPRAGUE AV,47.657594,-117.422036,,,,,,0
NORMILWN,4222,Northwest Blvd @ Milton,W NORTHWEST BL & N MILTON ST,47.686777,-117.452306,,,,,,0
NOROAKEN,4224,Northwest Blvd @ Oak,W NORTHWEST BL & N OAK ST,47.680285,-117.438546,,,,,,0
MARDIANN,4225,Market @ Diamond,N MARKET ST & E DIAMOND AV,47.705034,-117.364677,,,,,,0
MEDLEFEF,4227,Medical Lake @ Lefevre,E SR 902 HY & N LEFEVRE ST,47.579672,-117.68138,,,,,,0
WELSULEN,4228,Wellesley @ Sullivan,E WELLESLEY AV & N SULLIVAN RD,47.70038,-117.19798,,,,,,0
WAL2NDSN,4229,Wall @ 2nd,,47.654545,-117.422116,,,,,,0
SPOFROWN,4231,Spokane Falls Blvd @ Front,E SPOKANE FALLS BL,47.660801,-117.403956,,,,,,0
